date_key,tariff_plan_id,tariff_id,time_band,total_energy_kwh,estimated_energy_cost,reading_count
2026-01-01,PLAN-A,TRF001,NIGHT,35.4231,194.82705000000004,24
2026-01-01,PLAN-A,TRF002,DAY,384.28650000000005,2690.0055000000016,48
2026-01-01,PLAN-A,TRF004,LATE,10.7361,69.78465,8
2026-01-02,PLAN-A,TRF001,NIGHT,32.8871,180.87905,24
2026-01-02,PLAN-A,TRF002,DAY,393.4055,2753.8384999999994,48
2026-01-02,PLAN-A,TRF004,LATE,11.444500000000001,74.38925,8
2026-01-03,PLAN-A,TRF001,NIGHT,27.233600000000003,149.78479999999996,24
2026-01-03,PLAN-A,TRF002,DAY,152.71719999999996,1069.0204,48
2026-01-03,PLAN-A,TRF004,LATE,9.8148,63.7962,8
2026-01-04,PLAN-A,TRF001,NIGHT,27.816000000000003,152.988,24
2026-01-04,PLAN-A,TRF002,DAY,147.8398,1034.8786,48
2026-01-04,PLAN-A,TRF004,LATE,10.3611,67.34715,8
2026-01-05,PLAN-A,TRF001,NIGHT,34.1445,187.79475000000002,24
2026-01-05,PLAN-A,TRF002,DAY,359.88649999999996,2519.2055000000005,48
2026-01-05,PLAN-A,TRF004,LATE,12.145999999999999,78.949,8
2026-01-06,PLAN-A,TRF001,NIGHT,30.476699999999997,167.62185,20
