date_key,interval_ts,campus_demand_kw,contributing_meter_count
2026-01-01,2026-01-01T00:00:00.000Z,5.404,1
2026-01-01,2026-01-01T00:15:00.000Z,5.662,1
2026-01-01,2026-01-01T00:30:00.000Z,5.5018,1
2026-01-01,2026-01-01T00:45:00.000Z,5.5369,1
2026-01-01,2026-01-01T01:00:00.000Z,5.9136,1
2026-01-01,2026-01-01T01:15:00.000Z,6.182,1
2026-01-01,2026-01-01T01:30:00.000Z,5.8263,1
2026-01-01,2026-01-01T01:45:00.000Z,6.249,1
2026-01-01,2026-01-01T02:00:00.000Z,5.9639,1
2026-01-01,2026-01-01T02:15:00.000Z,5.8702,1
2026-01-01,2026-01-01T02:30:00.000Z,5.5976,1
2026-01-01,2026-01-01T02:45:00.000Z,5.5591,1
2026-01-01,2026-01-01T03:00:00.000Z,6.0131,1
2026-01-01,2026-01-01T03:15:00.000Z,5.9907,1
2026-01-01,2026-01-01T03:30:00.000Z,6.028,1
2026-01-01,2026-01-01T03:45:00.000Z,6.0972,1
2026-01-01,2026-01-01T04:00:00.000Z,6.0839,1
2026-01-01,2026-01-01T04:15:00.000Z,6.0296,1
2026-01-01,2026-01-01T04:30:00.000Z,6.0731,1
2026-01-01,2026-01-01T04:45:00.000Z,6.0928,1
